10: [5, 19, -41, 30, 46, -32, -20, 29, 4, -16]
10: [-33, -3, 22, -49, -42, 2, 28, 0, -48, 14]
10: [4, -49, -25, 50, 23, -6, -34, 46, -28, 50]
10: [42, 49, 34, -42, 42, -48, 18, 44, 9, -26]
10: [-12, 44, -32, -43, -38, 1, 9, -25, 9, 32]
10: [25, 41, -23, -43, -22, 26, -41, 20, -24, -5]
10: [21, 24, 25, 36, 14, -31, -14, -33, 3, -43]
10: [44, 27, -6, 27, -2, -29, 36, 21, 11, -8]
10: [30, -4, -21, 48, 21, 22, 14, 16, 22, 37]
10: [48, -3, -7, 16, -25, 12, 21, 14, 10, 35]
10: [33, -49, 27, -32, 34, -37, -36, 25, -3, 24]
10: [28, -19, -20, -3, -40, -38, 14, 35, -22, 47]
10: [-14, -18, -41, 2, -28, -26, 14, 8, -2, 35]
10: [-31, -21, 42, -18, 49, -38, 1, -28, 39, -50]
10: [48, -46, 5, 15, 18, -30, 26, -2, -16, -13]
10: [3, 37, 39, -9, -6, -34, 31, -34, -48, 42]
10: [-25, -3, -2, -30, 22, 48, 40, 41, -25, 6]
10: [-30, 29, 5, -23, 8, 18, -42, -41, 2, -2]
10: [-49, -45, -46, -45, -32, 4, -28, 25, 39, 49]
10: [3, -5, 28, 15, -16, 41, 3, -17, 37, -1]
